time_ms, lin_x_pos, lin_y_pos, lin_z_pos, lin_x_vel, lin_y_vel, lin_z_vel, ang_h_pos, ang_p_pos, ang_s_pos, ang_h_vel, ang_p_vel, ang_s_vel, lin_x_pos_var, lin_y_pos_var, lin_z_pos_var, lin_x_vel_var, lin_y_vel_var, lin_z_vel_var, ang_h_pos_var, ang_p_pos_var, ang_s_pos_var, ang_h_vel_var, ang_p_vel_var, ang_s_vel_var
8949.19560000, -0.188, -0.102, 0.296, 1.928, -0.448, 1.398, -0.27923, -0.33192, 2.82109, 2.94609, -0.64980, -2.70391, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000
8950.19560000, -0.186, -0.103, 0.297, 1.928, -0.448, 1.398, -0.27628, -0.33257, 2.81838, 2.94609, -0.64980, -2.70391, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000
8951.19560000, -0.202, -0.098, 0.281, 1.921, -0.446, 1.391, -0.25564, -0.39771, 2.80868, 2.95303, -0.67509, -2.70665, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343
8952.19560000, -0.200, -0.098, 0.283, 1.921, -0.446, 1.391, -0.25269, -0.39839, 2.80597, 2.95303, -0.67509, -2.70665, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343
8953.19560000, -0.198, -0.098, 0.284, 1.920, -0.446, 1.390, -0.27020, -0.39780, 2.81505, 2.90236, -0.67196, -2.67747, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531
8954.19560000, -0.196, -0.099, 0.285, 1.920, -0.446, 1.390, -0.26730, -0.39847, 2.81237, 2.90236, -0.67196, -2.67747, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531
8955.19560000, -0.190, -0.101, 0.291, 1.945, -0.454, 1.416, -0.24732, -0.37760, 2.79811, 2.99433, -0.55594, -2.73983, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047
8956.19560000, -0.188, -0.101, 0.293, 1.945, -0.454, 1.416, -0.24432, -0.37815, 2.79537, 2.99433, -0.55594, -2.73983, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047
8957.19560000, -0.185, -0.102, 0.295, 1.955, -0.456, 1.426, -0.20357, -0.37486, 2.77020, 3.30524, -0.52423, -2.92452, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146
8958.19560000, -0.183, -0.102, 0.297, 1.955, -0.456, 1.426, -0.20026, -0.37538, 2.76728, 3.30524, -0.52423, -2.92452, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146
8959.19560000, -0.181, -0.103, 0.298, 1.954, -0.456, 1.426, -0.17249, -0.37414, 2.74955, 3.56319, -0.50564, -3.08057, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805
