time_ms, lin_x_pos, lin_y_pos, lin_z_pos, lin_x_vel, lin_y_vel, lin_z_vel, ang_h_pos, ang_p_pos, ang_s_pos, ang_h_vel, ang_p_vel, ang_s_vel, lin_x_pos_var, lin_y_pos_var, lin_z_pos_var, lin_x_vel_var, lin_y_vel_var, lin_z_vel_var, ang_h_pos_var, ang_p_pos_var, ang_s_pos_var, ang_h_vel_var, ang_p_vel_var, ang_s_vel_var
3464.26162400, -0.281, -0.203, 0.788, 10.185, -1.996, 4.770, 0.43361, -0.04769, 1.13969, 2.18555, 4.28237, -10.72887, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000
3465.26162400, -0.270, -0.205, 0.793, 10.185, -1.996, 4.770, 0.43580, -0.04341, 1.12896, 2.18555, 4.28237, -10.72887, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000
3466.26162400, -0.423, -0.174, 0.714, 10.121, -1.983, 4.737, 0.39312, -0.10932, 1.15283, 2.16796, 4.25485, -10.71530, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343
3467.26162400, -0.413, -0.176, 0.719, 10.121, -1.983, 4.737, 0.39529, -0.10506, 1.14212, 2.16796, 4.25485, -10.71530, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343
3468.26162400, -0.427, -0.173, 0.712, 10.063, -1.972, 4.707, 0.40106, -0.11473, 1.12061, 2.17686, 4.22039, -10.74201, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531
3469.26162400, -0.417, -0.175, 0.717, 10.063, -1.972, 4.707, 0.40323, -0.11051, 1.10987, 2.17686, 4.22039, -10.74201, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531
3470.26162400, -0.429, -0.173, 0.710, 9.940, -1.947, 4.645, 0.42643, -0.12781, 1.07288, 2.29006, 4.10450, -10.88334, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047
3471.26162400, -0.420, -0.175, 0.714, 9.940, -1.947, 4.645, 0.42872, -0.12370, 1.06200, 2.29006, 4.10450, -10.88334, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047
3472.26162400, -0.391, -0.181, 0.728, 10.092, -1.978, 4.724, 0.42724, -0.10522, 1.05813, 2.25904, 4.22290, -10.82563, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146
3473.26162400, -0.381, -0.182, 0.733, 10.092, -1.978, 4.724, 0.42950, -0.10099, 1.04730, 2.25904, 4.22290, -10.82563, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146
3474.26162400, -0.364, -0.186, 0.741, 10.162, -1.994, 4.761, 0.40369, -0.08159, 1.06934, 1.96304, 4.38298, -10.47909, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805, 0.00364, 0.00364, 0.00364, 9.85805, 9.85805, 9.85805
3475.26162400, -0.354, -0.188, 0.746, 10.162, -1.994, 4.761, 0.40565, -0.07721, 1.05886, 1.96304, 4.38298, -10.47909, 0.00423, 0.00423, 0.00423, 9.87805, 9.87805, 9.87805, 0.00423, 0.00423, 0.00423, 9.87805, 9.87805, 9.87805
