time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.72,18.9782,-0.092377,4.80695,2,-0.100023,-0.268165,0.958166
0.73,19.2243,-0.109665,4.83351,2,-0.0997739,-0.261746,0.959966
0.74,19.4697,-0.127146,4.85988,2,-0.0995148,-0.255375,0.961707
0.75,19.7145,-0.144814,4.88607,2,-0.0992459,-0.249054,0.963391
0.76,19.9586,-0.162665,4.91208,2,-0.0989678,-0.242781,0.965019
0.77,20.2021,-0.180693,4.93791,2,-0.0986809,-0.236558,0.966593
0.78,20.4449,-0.198891,4.96356,2,-0.0983854,-0.230383,0.968114
0.79,20.6871,-0.217256,4.98905,2,-0.0980819,-0.224258,0.969582
0.8,20.9287,-0.235781,5.01437,2,-0.0977706,-0.218181,0.970998
0.81,21.1696,-0.254461,5.03953,2,-0.097452,-0.212152,0.972365
0.82,21.4099,-0.273291,5.06453,2,-0.0971264,-0.206172,0.973683
0.83,21.6496,-0.292265,5.08938,2,-0.0967942,-0.200241,0.974954
0.84,21.8887,-0.311379,5.11407,2,-0.0964556,-0.194358,0.976177
0.85,22.1271,-0.330626,5.13861,2,-0.0961111,-0.188523,0.977355
0.86,22.3649,-0.350001,5.16301,2,-0.0957609,-0.182736,0.978487
0.87,22.6022,-0.369501,5.18726,2,-0.0954053,-0.176996,0.979576
0.88,22.8387,-0.389118,5.21137,2,-0.0950448,-0.171305,0.980623
0.89,23.0747,-0.408848,5.23534,2,-0.0946795,-0.165661,0.981627
0.9,23.3101,-0.428687,5.25917,2,-0.0943097,-0.160064,0.982591
0.91,23.5449,-0.448628,5.28287,2,-0.0939358,-0.154515,0.983515
0.92,23.779,-0.468667,5.30644,2,-0.0935581,-0.149012,0.984399
0.93,24.0126,-0.488799,5.32989,2,-0.0931767,-0.143556,0.985246
0.94,24.2456,-0.509019,5.3532,2,-0.0927919,-0.138147,0.986055
0.95,24.478,-0.529321,5.37639,2,-0.0924041,-0.132785,0.986828
0.96,24.7098,-0.549702,5.39946,2,-0.0920135,-0.127468,0.987565
0.97,24.941,-0.570156,5.4224,2,-0.0916202,-0.122198,0.988268
0.98,25.1716,-0.590679,5.44523,2,-0.0912246,-0.116973,0.988936
0.99,25.4016,-0.611265,5.46794,2,-0.0908268,-0.111794,0.989572
1,25.631,-0.63191,5.49053,2,-0.0904272,-0.106661,0.990175
1.01,25.8599,-0.652609,5.51302,2,-0.0900258,-0.101572,0.990746
1.02,26.0882,-0.673357,5.53539,2,-0.089623,-0.0965285,0.991287
1.03,26.3159,-0.694151,5.55764,2,-0.0892189,-0.0915296,0.991798
1.04,26.5431,-0.714985,5.5798,2,-0.0888137,-0.0865752,0.992279
