time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.71,11.2556,-2.20253,2.23403,4,-0.193998,-0.563147,0.803262
0.72,11.4039,-2.25234,2.2347,4,-0.193469,-0.561529,0.804522
0.73,11.552,-2.30256,2.23502,4,-0.192935,-0.559925,0.805767
0.74,11.6998,-2.35317,2.23497,4,-0.192399,-0.558335,0.806998
0.75,11.8473,-2.40419,2.23456,4,-0.191859,-0.556759,0.808214
0.76,11.9947,-2.4556,2.23379,4,-0.191316,-0.555198,0.809415
0.77,12.1418,-2.5074,2.23267,4,-0.19077,-0.553652,0.810602
0.78,12.2886,-2.5596,2.23119,4,-0.190222,-0.552122,0.811774
0.79,12.4352,-2.6122,2.22936,4,-0.189672,-0.550607,0.812931
0.8,12.5816,-2.66519,2.22718,4,-0.18912,-0.549107,0.814073
0.81,12.7277,-2.71857,2.22465,4,-0.188566,-0.547624,0.8152
0.82,12.8736,-2.77234,2.22177,4,-0.188011,-0.546156,0.816312
0.83,13.0193,-2.8265,2.21854,4,-0.187454,-0.544704,0.81741
0.84,13.1647,-2.88105,2.21497,4,-0.186896,-0.543268,0.818492
0.85,13.3099,-2.93599,2.21106,4,-0.186337,-0.541849,0.81956
0.86,13.4549,-2.99131,2.2068,4,-0.185778,-0.540445,0.820613
0.87,13.5996,-3.04703,2.20221,4,-0.185218,-0.539057,0.821652
0.88,13.7441,-3.10313,2.19728,4,-0.184657,-0.537685,0.822676
0.89,13.8884,-3.15961,2.19202,4,-0.184096,-0.536329,0.823687
0.9,14.0324,-3.21648,2.18642,4,-0.183535,-0.534989,0.824683
0.91,14.1762,-3.27374,2.1805,4,-0.182974,-0.533665,0.825665
0.92,14.3197,-3.33138,2.17424,4,-0.182413,-0.532356,0.826633
0.93,14.4631,-3.3894,2.16766,4,-0.181852,-0.531063,0.827588
0.94,14.6062,-3.4478,2.16075,4,-0.181291,-0.529785,0.82853
0.95,14.749,-3.50659,2.15351,4,-0.180731,-0.528522,0.829458
0.96,14.8916,-3.56575,2.14596,4,-0.180172,-0.527275,0.830373
0.97,15.034,-3.6253,2.13809,4,-0.179612,-0.526042,0.831276
