time_ms, lin_x_pos, lin_y_pos, lin_z_pos, lin_x_vel, lin_y_vel, lin_z_vel, ang_h_pos, ang_p_pos, ang_s_pos, ang_h_vel, ang_p_vel, ang_s_vel, lin_x_pos_var, lin_y_pos_var, lin_z_pos_var, lin_x_vel_var, lin_y_vel_var, lin_z_vel_var, ang_h_pos_var, ang_p_pos_var, ang_s_pos_var, ang_h_vel_var, ang_p_vel_var, ang_s_vel_var
15234.37375200, -0.511, -0.089, 0.747, 0.173, 2.316, -2.443, -0.63289, -0.80816, -0.39447, 0.83151, 4.26713, -11.46668, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000, 0.05051, 0.05051, 0.05051, 10.02000, 10.02000, 10.02000
15235.37375200, -0.511, -0.086, 0.745, 0.173, 2.316, -2.443, -0.63206, -0.80389, -0.40594, 0.83151, 4.26713, -11.46668, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000, 0.05104, 0.05104, 0.05104, 10.04000, 10.04000, 10.04000
15236.37375200, -0.512, -0.088, 0.746, 0.172, 2.314, -2.442, -0.64609, -0.79450, -0.40555, 0.82569, 4.26914, -11.46203, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343, 0.00888, 0.00888, 0.00888, 10.05343, 10.05343, 10.05343
15237.37375200, -0.512, -0.086, 0.743, 0.172, 2.314, -2.442, -0.64526, -0.79023, -0.41701, 0.82569, 4.26914, -11.46203, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343, 0.00942, 0.00942, 0.00942, 10.07343, 10.07343, 10.07343
15238.37375200, -0.510, -0.076, 0.734, 0.176, 2.331, -2.459, -0.66178, -0.77074, -0.42417, 0.78273, 4.30683, -11.45137, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531, 0.00538, 0.00538, 0.00538, 10.06531, 10.06531, 10.06531
15239.37375200, -0.510, -0.074, 0.732, 0.176, 2.331, -2.459, -0.66100, -0.76643, -0.43562, 0.78273, 4.30683, -11.45137, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531, 0.00594, 0.00594, 0.00594, 10.08531, 10.08531, 10.08531
15240.37375200, -0.510, -0.073, 0.731, 0.174, 2.322, -2.451, -0.65056, -0.76560, -0.44753, 0.83473, 4.28809, -11.45386, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047, 0.00428, 0.00428, 0.00428, 10.04047, 10.04047, 10.04047
15241.37375200, -0.510, -0.071, 0.728, 0.174, 2.322, -2.451, -0.64973, -0.76131, -0.45899, 0.83473, 4.28809, -11.45386, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047, 0.00485, 0.00485, 0.00485, 10.06047, 10.06047, 10.06047
15242.37375200, -0.511, -0.074, 0.731, 0.166, 2.279, -2.411, -0.64280, -0.76230, -0.46724, 0.88493, 4.24471, -11.42749, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146, 0.00383, 0.00383, 0.00383, 9.97146, 9.97146, 9.97146
15243.37375200, -0.510, -0.072, 0.728, 0.166, 2.279, -2.411, -0.64191, -0.75805, -0.47866, 0.88493, 4.24471, -11.42749, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146, 0.00441, 0.00441, 0.00441, 9.99146, 9.99146, 9.99146
