time_ms, meas_time_ms, frame_id, lin_x_m, lin_y_m, lin_z_m, ang_h_rad, ang_p_rad, ang_s_rad, disc_index, player
15233.37375200, 15196.99880800, 7938, -0.501, -0.107, 0.769, -0.64572, -0.92384, 0.06808, 6, 1, 0
15233.37375200, 15198.91383200, 7939, -0.505, -0.121, 0.783, -0.63201, -0.93619, 0.05001, 6, 1, 0
15233.37375200, 15200.82792000, 7940, -0.504, -0.112, 0.774, -0.63331, -0.93158, 0.01780, 6, 1, 0
15233.37375200, 15202.74270400, 7941, -0.501, -0.097, 0.760, -0.66871, -0.89595, -0.01933, 6, 1, 0
15233.37375200, 15204.65670400, 7942, -0.515, -0.150, 0.812, -0.63259, -0.93236, -0.01536, 6, 1, 0
15233.37375200, 15206.57102400, 7943, -0.510, -0.130, 0.791, -0.68064, -0.88519, -0.05549, 6, 1, 0
15233.37375200, 15208.48567200, 7944, -0.507, -0.112, 0.774, -0.64384, -0.90823, -0.08960, 6, 1, 0
15233.37375200, 15210.40064800, 7945, -0.511, -0.124, 0.786, -0.65625, -0.89770, -0.10621, 6, 1, 0
15233.37375200, 15212.31467200, 7946, -0.515, -0.138, 0.800, -0.65928, -0.89536, -0.12012, 6, 1, 0
15233.37375200, 15214.22983200, 7947, -0.511, -0.117, 0.779, -0.66045, -0.88345, -0.15670, 6, 1, 0
15233.37375200, 15216.14427200, 7948, -0.517, -0.140, 0.801, -0.64965, -0.89410, -0.16350, 6, 1, 0
15233.37375200, 15218.05783200, 7949, -0.513, -0.123, 0.784, -0.65395, -0.87971, -0.19567, 6, 1, 0
15233.37375200, 15219.97272800, 7950, -0.514, -0.121, 0.782, -0.66178, -0.86806, -0.21768, 6, 1, 0
15233.37375200, 15221.88745600, 7951, -0.511, -0.107, 0.769, -0.64288, -0.86623, -0.25370, 6, 1, 0
15233.37375200, 15223.80186400, 7952, -0.516, -0.124, 0.784, -0.62898, -0.87660, -0.27031, 6, 1, 0
15233.37375200, 15225.71570400, 7953, -0.513, -0.107, 0.767, -0.61935, -0.86348, -0.30500, 6, 1, 0
15233.37375200, 15227.63043200, 7954, -0.516, -0.121, 0.781, -0.60510, -0.87380, -0.32108, 6, 1, 0
15233.37375200, 15229.54470400, 7955, -0.510, -0.087, 0.747, -0.61602, -0.83325, -0.35793, 6, 1, 0
15233.37375200, 15231.45980800, 7956, -0.513, -0.102, 0.761, -0.62119, -0.83519, -0.36370, 6, 1, 0
15233.37375200, 15233.37375200, 7957, -0.512, -0.091, 0.750, -0.63372, -0.81243, -0.38301, 6, 1, 0
15235.37375200, 15235.28875200, 7958, -0.512, -0.091, 0.749, -0.64982, -0.79776, -0.39176, 6, 1, 1
15237.37375200, 15237.20261600, 7959, -0.508, -0.071, 0.729, -0.68095, -0.75891, -0.40816, 6, 1, 1
15239.37375200, 15239.11786400, 7960, -0.511, -0.079, 0.736, -0.63522, -0.77572, -0.43685, 6, 1, 1
15241.37375200, 15241.03170400, 7961, -0.513, -0.087, 0.743, -0.63120, -0.77732, -0.44925, 6, 1, 1
15243.37375200, 15242.94656800, 7962, -0.511, -0.079, 0.734, -0.60448, -0.76815, -0.47979, 6, 1, 1
15245.37375200, 15244.86064800, 7963, -0.510, -0.072, 0.726, -0.62571, -0.74514, -0.48711, 6, 1, 1
15247.37375200, 15246.77548800, 7964, -0.511, -0.072, 0.726, -0.59668, -0.74572, -0.51443, 6, 1, 1
15249.37375200, 15248.68980800, 7965, -0.511, -0.069, 0.722, -0.57595, -0.73858, -0.53642, 6, 1, 1
15251.37375200, 15250.60370400, 7966, -0.511, -0.066, 0.719, -0.55706, -0.72966, -0.56018, 6, 1, 1
15253.37375200, 15252.51840000, 7967, -0.505, -0.037, 0.689, -0.62087, -0.66505, -0.55364, 6, 1, 1
15255.37375200, 15254.43351200, 7968, -0.509, -0.055, 0.706, -0.58592, -0.69226, -0.57344, 6, 1, 1
15256.37375200, 15256.34775200, 7969, -0.509, -0.056, 0.706, -0.58030, -0.68849, -0.58653, 6, 1, 1
15258.37375200, 15258.26170400, 7970, -0.505, -0.033, 0.682, -0.57381, -0.64202, -0.60481, 6, 1, 1
15260.37375200, 15260.17686400, 7971, -0.504, -0.030, 0.677, -0.54196, -0.62999, -0.62691, 6, 1, 1
15262.37375200, 15262.09078400, 7972, -0.505, -0.032, 0.678, -0.55672, -0.62589, -0.63087, 6, 1, 1
15264.37375200, 15264.00586400, 7973, -0.502, -0.015, 0.660, -0.55089, -0.58385, -0.64796, 6, 1, 1
15266.37375200, 15265.91970400, 7974, -0.503, -0.019, 0.662, -0.52349, -0.58683, -0.66341, 6, 1, 1
15268.37375200, 15267.83386400, 7975, -0.501, -0.012, 0.655, -0.50234, -0.56450, -0.67727, 6, 1, 1
15270.37375200, 15269.74870400, 7976, -0.503, -0.018, 0.659, -0.55929, -0.57817, -0.67451, 6, 1, 1
15272.37375200, 15271.66283200, 7977, -0.503, -0.019, 0.659, -0.53852, -0.57153, -0.68936, 6, 1, 1
15274.37375200, 15273.57756800, 7978, -0.501, -0.011, 0.650, -0.45703, -0.53804, -0.71640, 6, 1, 1
15276.37375200, 15275.49251200, 7979, -0.499, 0.001, 0.636, -0.47910, -0.50625, -0.71620, 6, 1, 1
15278.37375200, 15277.40678400, 7980, -0.501, -0.009, 0.645, -0.44702, -0.52094, -0.73460, 6, 1, 1
15279.37375200, 15279.32088800, 7981, -0.499, 0.000, 0.634, -0.46778, -0.49244, -0.73630, 6, 1, 1
15281.37375200, 15281.23553600, 7982, -0.497, 0.008, 0.625, -0.45376, -0.46992, -0.74640, 6, 1, 1
15283.37375200, 15283.14988800, 7983, -0.495, 0.019, 0.611, -0.51857, -0.45042, -0.74402, 6, 1, 1
15285.37375200, 15285.06464800, 7984, -0.490, 0.043, 0.585, -0.50133, -0.36220, -0.74487, 6, 1, 1
15287.37375200, 15286.97888800, 7985, -0.494, 0.023, 0.604, -0.45046, -0.41397, -0.76331, 6, 1, 1
15289.37375200, 15288.89324000, 7986, -0.493, 0.026, 0.599, -0.47231, -0.40452, -0.77077, 6, 1, 1
15291.37375200, 15290.80780800, 7987, -0.495, 0.017, 0.608, -0.34353, -0.38648, -0.79359, 6, 1, 1
15293.37375200, 15292.72245600, 7988, -0.495, 0.016, 0.607, -0.41716, -0.42442, -0.79821, 6, 1, 1
15295.37375200, 15294.63670400, 7989, -0.492, 0.028, 0.592, -0.40231, -0.36471, -0.79754, 6, 1, 1
15297.37375200, 15296.55161600, 7990, -0.492, 0.024, 0.595, -0.40882, -0.37829, -0.80706, 6, 1, 1
15299.37375200, 15298.46556800, 7991, -0.489, 0.038, 0.579, -0.40360, -0.33352, -0.80734, 6, 1, 1
15301.37375200, 15300.37972800, 7992, -0.494, 0.015, 0.601, -0.34715, -0.38381, -0.83485, 6, 1, 1
15302.37375200, 15302.29475200, 7993, -0.487, 0.044, 0.569, -0.36428, -0.26836, -0.81329, 6, 1, 1
15304.37375200, 15304.20872800, 7994, -0.490, 0.030, 0.581, -0.39512, -0.34438, -0.83224, 6, 1, 1
15306.37375200, 15306.12364800, 7995, -0.485, 0.049, 0.559, -0.40425, -0.27255, -0.82668, 6, 1, 1
15308.37375200, 15308.03786400, 7996, -0.486, 0.047, 0.560, -0.36843, -0.26493, -0.83799, 6, 1, 1
15310.37375200, 15309.95243200, 7997, -0.485, 0.047, 0.558, -0.34911, -0.24434, -0.83957, 6, 1, 1
15312.37375200, 15311.86667200, 7998, -0.485, 0.044, 0.559, -0.35157, -0.25579, -0.85090, 6, 1, 1
15314.37375200, 15313.78100000, 7999, -0.483, 0.053, 0.548, -0.37381, -0.22620, -0.85127, 6, 1, 1
15316.37375200, 15315.69575200, 8000, -0.483, 0.050, 0.549, -0.32487, -0.20760, -0.85356, 6, 1, 1
15318.37375200, 15317.61051200, 8001, -0.482, 0.051, 0.547, -0.30651, -0.18296, -0.85823, 6, 1, 1
15320.37375200, 15319.52470400, 8002, -0.482, 0.049, 0.546, -0.33387, -0.21003, -0.87046, 6, 1, 1
15322.37375200, 15321.43880800, 8003, -0.480, 0.055, 0.538, -0.29731, -0.12671, -0.85420, 6, 1, 1
15323.37375200, 15323.35356800, 8004, -0.480, 0.050, 0.541, -0.30645, -0.17545, -0.87475, 6, 1, 1
