mold_name,manufacturer,disc_type,stability,rim_camber_shape,mass_kg,radius_m,rim_width_m,thickness_m,rim_depth_m,rim_camber_h_m,dome_height_m
Avenger-SS,Discraft,Driver,Overstable,Concave,0.17760,0.10700,0.01900,0.01800,0.01200,0.01322,0.00388
Banger-GT,Discraft,Putter,Understable,Flat,0.17600,0.10600,0.01000,0.02000,0.01600,0.00720,0.00362
Breeze (Ace Race 2003),Discraft,Putter,Understable,Flat,0.17680,0.10650,0.01150,0.01800,0.01400,0.00926,0.00362
Buzzz,Discraft,Midrange,Stable,NONE,0.18010,0.10850,0.01200,0.01900,0.01300,0.01691,0.00114
Buzzz OS,Discraft,Midrange,Overstable,NONE,0.18010,0.10850,0.01300,0.01700,0.01200,0.01513,0.00102
Buzzz-GT,Discraft,Midrange,Stable,NONE,0.17850,0.10750,0.01250,0.01700,0.01300,0.01336,0.00279
Buzzz-SS,Discraft,Midrange,Stable,NONE,0.17930,0.10800,0.01300,0.02100,0.01300,0.01759,0.00236
Challenger,Discraft,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02200,0.01600,0.00312,0.00247
Challenger OS,Discraft,Putter,Understable,Flat,0.17510,0.10550,0.01100,0.02000,0.01500,0.00512,0.00325
Challenger SS,Discraft,Putter,Understable,Flat,0.17510,0.10550,0.01000,0.02000,0.01400,0.00485,0.00308
Comet,Discraft,Midrange,Understable,NONE,0.18090,0.10900,0.01200,0.02100,0.01300,0.01978,0.00017
Crank,Discraft,Driver,Stable,Concave,0.17510,0.10550,0.02400,0.01600,0.01100,0.00679,0.00431
Crank SS,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02400,0.01500,0.01100,0.00637,0.00404
Cruiser,Discraft,Fairway,Stable,Concave,0.17760,0.10700,0.01650,0.01800,0.01200,0.01322,0.00388
Cruiser-Windstar,Discraft,Fairway,Stable,Concave,0.17760,0.10700,0.01650,0.01800,0.01200,0.01322,0.00388
Crush,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02050,0.01700,0.01200,0.00645,0.00409
Cyclone,Discraft,Midrange,Overstable,Concave,0.17680,0.10650,0.01600,0.01800,0.01200,0.01049,0.00410
Cyclone 2,Discraft,Midrange,Overstable,Concave,0.17680,0.10650,0.01600,0.01800,0.01200,0.01049,0.00410
Deuce,Discraft,Midrange,Stable,NONE,0.18010,0.10850,0.01100,0.02200,0.01300,0.01958,0.00132
Drone,Discraft,Midrange,Overstable,Concave,0.17850,0.10750,0.01500,0.02000,0.01300,0.01572,0.00328
Eclipse,Discraft,Midrange,Overstable,Flat,0.18260,0.11000,0.01400,0.01600,0.01200,0.01520,0.00000
Fierce,Discraft,Putter,Understable,Flat,0.17510,0.10550,0.01050,0.01900,0.01500,0.00474,0.00301
Flash,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02050,0.01600,0.01200,0.00607,0.00385
Flick,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02100,0.01300,0.01100,0.00501,0.00318
Focus (Ace Race 2009),Discraft,Putter,Understable,Flat,0.17510,0.10550,0.01000,0.02100,0.01600,0.00511,0.00324
Force,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02300,0.01700,0.01200,0.00700,0.00444
Glide (Ace Race 2004),Discraft,Midrange,Stable,Flat,0.17850,0.10750,0.01450,0.02000,0.01300,0.01572,0.00328
Hades,Discraft,Driver,Understable,Concave,0.17430,0.10500,0.02250,0.01600,0.01100,0.00463,0.00366
Heat (Ace Race 2014),Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.01950,0.02100,0.01200,0.00769,0.00487
Hornet (Ace Race 2010),Discraft,Midrange,Stable,NONE,0.17850,0.10750,0.01300,0.01900,0.01300,0.01493,0.00312
Impact (Ace Race 2007),Discraft,Midrange,Stable,NONE,0.17930,0.10800,0.01300,0.02000,0.01300,0.01676,0.00224
Luna,Discraft,Putter,Stable,Flat,0.17510,0.10550,0.01100,0.02000,0.01400,0.00511,0.00324
MRV,Discraft,Midrange,Stable,NONE,0.17680,0.10650,0.01200,0.02200,0.01300,0.01148,0.00448
MRX,Discraft,Midrange,Stable,Flat,0.17680,0.10650,0.01400,0.02100,0.01300,0.01160,0.00453
Machete,Discraft,Driver,Stable,Concave,0.17510,0.10550,0.02150,0.01600,0.01100,0.00627,0.00398
Magnet,Discraft,Putter,Stable,Flat,0.17600,0.10600,0.00800,0.02000,0.01400,0.00662,0.00333
Malta (Paul McBeth Proto Mid-Range),Discraft,Midrange,Stable,NONE,0.17680,0.10650,0.01350,0.01700,0.01300,0.00926,0.00362
Mantis (Ace Race 2013),Discraft,Driver,Overstable,Concave,0.17600,0.10600,0.01900,0.01900,0.01100,0.00924,0.00464
Marauder,Discraft,Midrange,Stable,Concave,0.18510,0.11150,0.01500,0.02000,0.01200,0.01900,0.00000
Meteor (Ace Race 2006),Discraft,Midrange,Stable,NONE,0.17850,0.10750,0.01300,0.02000,0.01300,0.01572,0.00328
Nebula (Ace Race 2008),Discraft,Midrange,Stable,NONE,0.17680,0.10650,0.01300,0.02000,0.01300,0.01074,0.00420
Nuke,Discraft,Driver,Overstable,Concave,0.17600,0.10600,0.02550,0.01600,0.01200,0.00926,0.00466
Nuke OS,Discraft,Driver,Stable,Concave,0.17600,0.10600,0.02500,0.01600,0.01200,0.00915,0.00460
Nuke SS,Discraft,Driver,Overstable,Concave,0.17600,0.10600,0.02500,0.01500,0.01100,0.00857,0.00431
Phantom,Discraft,Midrange,Stable,NONE,0.17760,0.10700,0.01000,0.02200,0.01100,0.01404,0.00412
Phantom Deuce,Discraft,Midrange,Stable,NONE,0.18010,0.10850,0.01100,0.02200,0.01300,0.01958,0.00132
Phantom Light,Discraft,Midrange,Stable,NONE,0.17760,0.10700,0.01100,0.02000,0.01100,0.01309,0.00384
Phantom+,Discraft,Midrange,Stable,NONE,0.17760,0.10700,0.01000,0.02200,0.01100,0.01404,0.00412
Predator,Discraft,Driver,Overstable,Concave,0.17600,0.10600,0.01900,0.01900,0.01100,0.00924,0.00464
Pulse,Discraft,Driver,Stable,Concave,0.17600,0.10600,0.02050,0.01700,0.01300,0.00864,0.00434
Punisher,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02200,0.01500,0.01100,0.00598,0.00379
Putt'r,Discraft,Putter,Understable,Flat,0.17430,0.10500,0.00900,0.02400,0.01600,0.00312,0.00246
Raptor,Discraft,Driver,Overstable,Concave,0.17680,0.10650,0.01950,0.01900,0.01100,0.01209,0.00472
Rattler Putter,Discraft,Putter,Understable,Flat,0.17600,0.10600,0.00600,0.02200,0.01600,0.00667,0.00335
Reaper,Discraft,Fairway,Overstable,Concave,0.17760,0.10700,0.01800,0.01500,0.01200,0.01102,0.00323
Ringer,Discraft,Putter,Understable,Flat,0.17430,0.10500,0.00900,0.01800,0.01200,0.00232,0.00183
Ringer GT,Discraft,Midrange,Understable,NONE,0.17510,0.10550,0.01050,0.01700,0.01100,0.00422,0.00267
Riptide,Discraft,Driver,Overstable,Concave,0.17760,0.10700,0.02000,0.01700,0.01200,0.01249,0.00366
Roach (Ace Race 2015),Discraft,Putter,Understable,Flat,0.17510,0.10550,0.01100,0.02000,0.01500,0.00512,0.00325
Rogue,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02150,0.01700,0.01200,0.00667,0.00423
Shadow,Discraft,Putter,Understable,Concave,0.18340,0.11050,0.01500,0.02100,0.01800,0.01995,0.00000
Sky Pro,Discraft,Putter,Understable,Flat,0.20000,0.12050,0.00550,0.02500,0.01600,0.02375,0.00000
Sky Streak,Discraft,Putter,Understable,Flat,0.18680,0.11250,0.00750,0.02500,0.01600,0.02375,0.00000
Sky-Star,Discraft,Putter,Understable,Flat,0.20000,0.12050,0.00550,0.02500,0.01600,0.02375,0.00000
Slipstream-GT (Ace Race 2005),Discraft,Driver,Stable,Concave,0.17680,0.10650,0.01900,0.01700,0.01300,0.01070,0.00418
SoL (Ace Race 2018),Discraft,Midrange,Stable,NONE,0.17510,0.10550,0.01100,0.01700,0.01300,0.00434,0.00275
Spectra,Discraft,Driver,Stable,Concave,0.17600,0.10600,0.02200,0.01700,0.01200,0.00900,0.00452
Squall,Discraft,Midrange,Stable,Flat,0.17850,0.10750,0.01450,0.01800,0.01300,0.01415,0.00295
Stalker,Discraft,Fairway,Stable,Concave,0.17930,0.10800,0.01600,0.01600,0.01200,0.01340,0.00180
Sting (Ace Race 2017),Discraft,Midrange,Stable,Concave,0.17760,0.10700,0.01600,0.01800,0.01200,0.01322,0.00388
Storm,Discraft,Midrange,Stable,NONE,0.17760,0.10700,0.01300,0.01800,0.01300,0.01239,0.00364
Stratus,Discraft,Midrange,Stable,NONE,0.17760,0.10700,0.01200,0.01800,0.01200,0.01209,0.00355
Surge,Discraft,Driver,Stable,Concave,0.17510,0.10550,0.02000,0.01600,0.01200,0.00596,0.00378
Surge-SS,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02150,0.01600,0.01200,0.00628,0.00398
Talon,Discraft,Fairway,Overstable,Concave,0.17430,0.10500,0.01750,0.01500,0.01100,0.00345,0.00272
The Hawk,Discraft,Midrange,Stable,NONE,0.17850,0.10750,0.01200,0.01800,0.01200,0.01415,0.00295
Thrasher,Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02150,0.01700,0.01100,0.00666,0.00422
Torque,Discraft,Midrange,Stable,NONE,0.17930,0.10800,0.01250,0.01900,0.01300,0.01592,0.00213
Tracer,Discraft,Midrange,Understable,Concave,0.18510,0.11150,0.01500,0.01700,0.01800,0.01615,0.00000
Tracker,Discraft,Fairway,Stable,Concave,0.17600,0.10600,0.01750,0.01700,0.01200,0.00791,0.00398
Tsunami,Discraft,Driver,Overstable,Concave,0.17760,0.10700,0.01950,0.01900,0.01200,0.01396,0.00409
Typhoon,Discraft,Midrange,Overstable,Concave,0.18180,0.10950,0.01500,0.01800,0.01200,0.01710,0.00000
Undertaker,Discraft,Fairway,Stable,Concave,0.17510,0.10550,0.01800,0.01800,0.01100,0.00623,0.00395
Venom,Discraft,Driver,Stable,Concave,0.17430,0.10500,0.02200,0.01600,0.01200,0.00454,0.00359
Vortex,Discraft,Midrange,Stable,NONE,0.18010,0.10850,0.01350,0.01600,0.01300,0.01424,0.00096
Vulture,Discraft,Fairway,Stable,Concave,0.17760,0.10700,0.01800,0.01600,0.01200,0.01175,0.00345
Wasp,Discraft,Midrange,Stable,NONE,0.17930,0.10800,0.01200,0.01800,0.01300,0.01508,0.00202
Wildcat,Discraft,Driver,Overstable,Concave,0.17680,0.10650,0.01900,0.01500,0.01200,0.00943,0.00368
Windstar,Discraft,Fairway,Stable,Concave,0.17760,0.10700,0.01750,0.01900,0.01300,0.01396,0.00409
X-Clone,Discraft,Midrange,Overstable,Concave,0.17760,0.10700,0.01600,0.01700,0.01200,0.01249,0.00366
X2,Discraft,Fairway,Stable,Concave,0.17430,0.10500,0.01700,0.01800,0.01200,0.00404,0.00319
XL,Discraft,Fairway,Stable,Concave,0.17510,0.10550,0.01700,0.02100,0.01200,0.00700,0.00444
XS,Discraft,Fairway,Overstable,Concave,0.17510,0.10550,0.01750,0.01800,0.01200,0.00612,0.00388
XTRA,Discraft,Fairway,Overstable,Concave,0.17510,0.10550,0.01700,0.01800,0.01200,0.00600,0.00381
Xpress,Discraft,Fairway,Overstable,Concave,0.17510,0.10550,0.01750,0.01800,0.01200,0.00612,0.00388
Xtreme,Discraft,Fairway,Overstable,Concave,0.17430,0.10500,0.01650,0.01900,0.01200,0.00415,0.00327
Z-Nuke (retooled),Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02500,0.01600,0.01200,0.00701,0.00444
Zeppelin (Ace Race 2011),Discraft,Putter,Understable,Flat,0.18340,0.11050,0.00900,0.02000,0.01500,0.01900,0.00000
Zeus (former Kong),Discraft,Driver,Overstable,Concave,0.17510,0.10550,0.02300,0.01600,0.01200,0.00659,0.00418
Zombee (Ace Race 2012),Discraft,Fairway,Stable,Concave,0.17930,0.10800,0.01600,0.02100,0.01200,0.01759,0.00236
Zone,Discraft,Putter,Overstable,Flat,0.17510,0.10550,0.01150,0.02000,0.01300,0.00524,0.00332
Skylark (Lõoke),Disctroyer OÜ,Putter,Stable,Flat,0.18010,0.10850,0.01200,0.01900,0.01500,0.01691,0.00114
Sparrow (Varblane),Disctroyer OÜ,Putter,Understable,Flat,0.17680,0.10650,0.01100,0.01900,0.01600,0.00965,0.00377
Starling (Kuldnokk),Disctroyer OÜ,Driver,Overstable,Concave,0.17430,0.10500,0.02400,0.01700,0.01200,0.00523,0.00413
Stork (Toonekurg),Disctroyer OÜ,Driver,Stable,Concave,0.17680,0.10650,0.01900,0.01700,0.01200,0.01069,0.00418
Crosshair,Discwing,Putter,Understable,Flat,0.17600,0.10600,0.00900,0.01900,0.01400,0.00656,0.00330
Fluent,Discwing,Fairway,Overstable,Concave,0.17600,0.10600,0.01700,0.01700,0.01200,0.00779,0.00392
Mark,Discwing,Putter,Understable,Flat,0.17510,0.10550,0.01000,0.02200,0.01600,0.00535,0.00339
Quarter K,Discwing,Putter,Stable,Concave,0.17680,0.10650,0.02300,0.02000,0.01400,0.01366,0.00534
Quarter K II,Discwing,Driver,Overstable,Concave,0.17430,0.10500,0.02100,0.01800,0.01100,0.00489,0.00386
Transcend,Discwing,Putter,Stable,Flat,0.17600,0.10600,0.00900,0.01900,0.01300,0.00655,0.00329
Vantage,Discwing,Midrange,Stable,Concave,0.17510,0.10550,0.01500,0.01800,0.01200,0.00553,0.00351
Leviathan,Divergent Discs,Midrange,Stable,NONE,0.17680,0.10650,0.01350,0.01900,0.01100,0.01034,0.00404
Narwhal,Divergent Discs,Midrange,Stable,NONE,0.17430,0.10500,0.01250,0.02300,0.01200,0.00392,0.00310
Bounty,Dynamic Discs,Midrange,Stable,NONE,0.18180,0.10950,0.01200,0.01800,0.01200,0.01710,0.00000
Breakout,Dynamic Discs,Driver,Stable,Concave,0.17430,0.10500,0.01900,0.01600,0.01100,0.00396,0.00313
Captain,Dynamic Discs,Driver,Stable,Concave,0.17510,0.10550,0.02250,0.01600,0.01100,0.00648,0.00411
Convict,Dynamic Discs,Driver,Stable,Concave,0.17600,0.10600,0.02000,0.01400,0.01100,0.00700,0.00352
Criminal,Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.02150,0.01500,0.01200,0.00783,0.00394
Defender,Dynamic Discs,Driver,Stable,Concave,0.17430,0.10500,0.02300,0.01600,0.01100,0.00473,0.00373
Deputy,Dynamic Discs,Putter,Understable,Flat,0.17600,0.10600,0.01050,0.02000,0.01500,0.00734,0.00369
EMAC Judge,Dynamic Discs,Putter,Understable,Flat,0.17600,0.10600,0.01150,0.02000,0.01400,0.00761,0.00383
EMAC Truth,Dynamic Discs,Midrange,Stable,Concave,0.18010,0.10850,0.01500,0.01800,0.01200,0.01602,0.00108
Enforcer,Dynamic Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02200,0.01800,0.01100,0.00717,0.00455
Escape,Dynamic Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02000,0.02000,0.01100,0.00745,0.00472
Evader,Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.01850,0.01900,0.01100,0.00910,0.00458
Evidence,Dynamic Discs,Midrange,Understable,Concave,0.18010,0.10850,0.01500,0.01800,0.01200,0.01602,0.00108
Felon,Dynamic Discs,Driver,Stable,Concave,0.17600,0.10600,0.02000,0.01800,0.01100,0.00901,0.00453
Freedom,Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.02450,0.01600,0.01100,0.00903,0.00454
Fugitive,Dynamic Discs,Midrange,Stable,NONE,0.18090,0.10900,0.01350,0.02100,0.01300,0.01978,0.00017
Gavel,Dynamic Discs,Putter,Stable,Flat,0.17680,0.10650,0.00900,0.01900,0.01400,0.00905,0.00353
Getaway,Dynamic Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02000,0.01800,0.01100,0.00670,0.00425
Guard,Dynamic Discs,Putter,Understable,Flat,0.17430,0.10500,0.00950,0.02100,0.01600,0.00285,0.00225
Judge,Dynamic Discs,Putter,Stable,Flat,0.17600,0.10600,0.01150,0.02000,0.01500,0.00762,0.00383
Justice,Dynamic Discs,Midrange,Stable,Concave,0.17680,0.10650,0.01500,0.01700,0.01300,0.00965,0.00377
Marshal,Dynamic Discs,Putter,Understable,Flat,0.17600,0.10600,0.01050,0.02000,0.01600,0.00734,0.00369
Maverick,Dynamic Discs,Fairway,Stable,Concave,0.17600,0.10600,0.01700,0.01800,0.01100,0.00824,0.00414
Patrol,Dynamic Discs,Midrange,Stable,Flat,0.18010,0.10850,0.01450,0.01600,0.01200,0.01424,0.00096
Proof,Dynamic Discs,Midrange,Stable,NONE,0.17850,0.10750,0.01250,0.01500,0.01100,0.01179,0.00246
Raider,Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.02450,0.01500,0.01100,0.00846,0.00426
Renegade,Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.02100,0.01700,0.01100,0.00875,0.00440
Sergeant,Dynamic Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02100,0.01700,0.01200,0.00656,0.00416
Sergeant (retest),Dynamic Discs,Driver,Overstable,Concave,0.17600,0.10600,0.02100,0.01500,0.01200,0.00772,0.00388
Sheriff,Dynamic Discs,Driver,Stable,Concave,0.17510,0.10550,0.02400,0.01600,0.01100,0.00679,0.00431
Slammer,Dynamic Discs,Putter,Stable,Flat,0.17600,0.10600,0.01000,0.01800,0.01400,0.00647,0.00325
Suspect,Dynamic Discs,Midrange,Stable,NONE,0.17680,0.10650,0.01200,0.01600,0.01200,0.00834,0.00326
Thief,Dynamic Discs,Driver,Stable,Concave,0.17600,0.10600,0.01950,0.01800,0.01100,0.00888,0.00446
Trespass,Dynamic Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02200,0.01900,0.01100,0.00757,0.00480
Truth,Dynamic Discs,Midrange,Stable,Concave,0.18010,0.10850,0.01500,0.01700,0.01200,0.01513,0.00102
Vandal,Dynamic Discs,Driver,Stable,Concave,0.17600,0.10600,0.01900,0.01700,0.01100,0.00826,0.00416
Verdict,Dynamic Discs,Midrange,Stable,Concave,0.18010,0.10850,0.01500,0.01700,0.01200,0.01513,0.00102
Warden,Dynamic Discs,Putter,Understable,Flat,0.17600,0.10600,0.01050,0.02000,0.01500,0.00734,0.00369
Warrant,Dynamic Discs,Midrange,Stable,Flat,0.18010,0.10850,0.01450,0.01800,0.01300,0.01602,0.00108
Witness,Dynamic Discs,Driver,Stable,Concave,0.17510,0.10550,0.01900,0.01800,0.01100,0.00647,0.00410
ESP Driver,EMSCO Group,Driver,Stable,Concave,0.17600,0.10600,0.02500,0.02500,0.01200,0.01429,0.00719
ESP Midrange,EMSCO Group,Midrange,Overstable,NONE,0.17850,0.10750,0.01350,0.02500,0.01200,0.01965,0.00410
Penrose,EV-7,Putter,Understable,Flat,0.17510,0.10550,0.01100,0.02100,0.01500,0.00538,0.00341
Chromium,Element Discs,Driver,Stable,Concave,0.17510,0.10550,0.01950,0.02000,0.01200,0.00732,0.00464
Iridium,Element Discs,Putter,Understable,Flat,0.17430,0.10500,0.00950,0.02100,0.01500,0.00285,0.00225
Lithium,Element Discs,Midrange,Stable,Concave,0.18180,0.10950,0.01500,0.01500,0.01300,0.01425,0.00000
Plutonium,Element Discs,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02000,0.01500,0.00283,0.00224
Radium,Element Discs,Midrange,Stable,Concave,0.18180,0.10950,0.01500,0.02000,0.01100,0.01900,0.00000
Uranium,Element Discs,Midrange,Stable,NONE,0.17600,0.10600,0.01250,0.01500,0.01400,0.00592,0.00298
Interceptor,Elevation Disc Golf,Midrange,Stable,Flat,0.17510,0.10550,0.01450,0.01500,0.01100,0.00451,0.00286
Honey,Essential Discs,Midrange,Stable,NONE,0.17600,0.10600,0.01200,0.01700,0.01300,0.00658,0.00331
Delivery,Eurodisc,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02000,0.01400,0.00283,0.00223
Delivery Organic,Eurodisc,Putter,Understable,Flat,0.17600,0.10600,0.01000,0.02100,0.01400,0.00754,0.00379
Transition,Eurodisc,Midrange,Stable,NONE,0.17680,0.10650,0.01300,0.01900,0.01300,0.01021,0.00399
Transition Organic,Eurodisc,Midrange,Stable,NONE,0.17850,0.10750,0.01300,0.02100,0.01300,0.01651,0.00344
Transporter,Eurodisc,Fairway,Overstable,Concave,0.17510,0.10550,0.01800,0.01700,0.01200,0.00589,0.00373
Transporter Organic,Eurodisc,Fairway,Overstable,Concave,0.17600,0.10600,0.01800,0.01900,0.01200,0.00897,0.00451
Bull Bay,FLYTEC,Putter,Stable,Flat,0.17600,0.10600,0.01000,0.02000,0.01400,0.00719,0.00361
Oak,FLYTEC,Driver,Stable,Concave,0.17510,0.10550,0.01950,0.02000,0.01200,0.00732,0.00464
Willow,FLYTEC,Putter,Stable,Flat,0.17850,0.10750,0.01300,0.02100,0.01400,0.01651,0.00344
AK-47,Fly High Discs,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02200,0.01500,0.00312,0.00246
Diesel,Fly High Discs,Driver,Stable,Concave,0.17760,0.10700,0.02250,0.01600,0.01100,0.01175,0.00345
Jack the Ripper,Fly High Discs,Driver,Stable,Concave,0.17430,0.10500,0.01950,0.01700,0.01100,0.00431,0.00341
KGB,Fly High Discs,Midrange,Stable,Flat,0.18090,0.10900,0.01400,0.01900,0.01100,0.01790,0.00015
Pure O.G.,Fly High Discs,Midrange,Stable,Concave,0.18090,0.10900,0.01500,0.01900,0.01100,0.01790,0.00015
Train Wreck,Fly High Discs,Driver,Stable,Concave,0.17430,0.10500,0.02300,0.01800,0.01200,0.00533,0.00421
White Widow,Fly High Discs,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02100,0.01500,0.00297,0.00235
Dingo,Fourth Circle Discs,Midrange,Stable,NONE,0.17850,0.10750,0.01300,0.01600,0.01300,0.01258,0.00262
Firehawk,Fourth Circle Discs,Fairway,Overstable,Concave,0.17680,0.10650,0.01800,0.01900,0.01200,0.01166,0.00455
Huntsman,Fourth Circle Discs,Putter,Understable,Flat,0.17680,0.10650,0.01100,0.02400,0.01600,0.01218,0.00476
Taipan,Fourth Circle Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02400,0.01600,0.01100,0.00679,0.00431
Cruise,Full Turn Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02350,0.01600,0.01100,0.00669,0.00424
Drifter,Full Turn Discs,Driver,Overstable,Concave,0.17510,0.10550,0.01900,0.01700,0.01200,0.00611,0.00388
Expedition,Full Turn Discs,Driver,Stable,Concave,0.17430,0.10500,0.02150,0.01700,0.01200,0.00472,0.00373
Navigator,Full Turn Discs,Midrange,Stable,NONE,0.17930,0.10800,0.01350,0.01700,0.01500,0.01424,0.00191
Nomad,Full Turn Discs,Putter,Stable,Concave,0.17510,0.10550,0.01950,0.02100,0.01300,0.00770,0.00488
Passport,Full Turn Discs,Putter,Understable,Flat,0.17600,0.10600,0.01000,0.02100,0.01600,0.00756,0.00380
Traveler,Full Turn Discs,Driver,Overstable,Concave,0.17510,0.10550,0.01900,0.01700,0.01200,0.00611,0.00388
Voyage,Full Turn Discs,Driver,Overstable,Concave,0.17510,0.10550,0.02350,0.01800,0.01100,0.00752,0.00477
Magneton,Galaxy Disc Golf,Putter,Understable,Flat,0.17510,0.10550,0.01000,0.01900,0.01500,0.00462,0.00293
Meteorite,Galaxy Disc Golf,Driver,Overstable,Concave,0.17510,0.10550,0.02150,0.01800,0.01100,0.00705,0.00447
Orbit,Galaxy Disc Golf,Midrange,Understable,NONE,0.17600,0.10600,0.01000,0.02100,0.01300,0.00754,0.00379
Satellite,Galaxy Disc Golf,Putter,Understable,Flat,0.17680,0.10650,0.00800,0.02100,0.01700,0.00970,0.00379
Shooting Star,Galaxy Disc Golf,Fairway,Overstable,Concave,0.17430,0.10500,0.01800,0.01800,0.01200,0.00425,0.00336
844 Sabre,Gateway Disc Sports,Fairway,Overstable,Concave,0.17510,0.10550,0.01700,0.02200,0.01200,0.00734,0.00465
Apache,Gateway Disc Sports,Fairway,Overstable,Concave,0.17430,0.10500,0.01700,0.02000,0.01200,0.00448,0.00354
Apache (retooled),Gateway Disc Sports,Driver,Overstable,Concave,0.17680,0.10650,0.01950,0.01800,0.01200,0.01146,0.00448
Apex,Gateway Disc Sports,Driver,Stable,Concave,0.17850,0.10750,0.02200,0.01900,0.01100,0.01493,0.00312
Assassin,Gateway Disc Sports,Driver,Stable,Concave,0.17430,0.10500,0.01900,0.01900,0.01100,0.00471,0.00372
Assassin (retooled),Gateway Disc Sports,Driver,Stable,Concave,0.17430,0.10500,0.01950,0.01900,0.01100,0.00482,0.00381
Blade,Gateway Disc Sports,Driver,Stable,Concave,0.17680,0.10650,0.02000,0.01500,0.01100,0.00966,0.00377
Blast DT,Gateway Disc Sports,Driver,Overstable,Concave,0.17680,0.10650,0.02150,0.01600,0.01100,0.01067,0.00417
Blaze,Gateway Disc Sports,Fairway,Stable,Concave,0.17510,0.10550,0.01700,0.01900,0.01200,0.00633,0.00402
Blurr,Gateway Disc Sports,Driver,Overstable,Concave,0.17680,0.10650,0.02150,0.01700,0.01100,0.01134,0.00443
Chief,Gateway Disc Sports,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02100,0.01500,0.00297,0.00235
Chief (retooled),Gateway Disc Sports,Midrange,Understable,NONE,0.17430,0.10550,0.00950,0.01700,0.01300,0.00401,0.00254
Chief OS,Gateway Disc Sports,Midrange,Understable,NONE,0.17600,0.10600,0.01000,0.02100,0.01300,0.00754,0.00379
Demon,Gateway Disc Sports,Fairway,Stable,Concave,0.17510,0.10550,0.01700,0.01900,0.01200,0.00633,0.00402
Devilhawk,Gateway Disc Sports,Midrange,Understable,NONE,0.17600,0.10600,0.01000,0.02100,0.01300,0.00754,0.00379
Diablo,Gateway Disc Sports,Driver,Stable,Concave,0.17600,0.10600,0.02050,0.01700,0.01200,0.00863,0.00434
Diablo DT,Gateway Disc Sports,Driver,Overstable,Concave,0.17930,0.10800,0.02200,0.01300,0.01100,0.01089,0.00146
Doggy Style,Gateway Disc Sports,Putter,Understable,Flat,0.18760,0.11300,0.00700,0.02200,0.01700,0.02090,0.00000
Element,Gateway Disc Sports,Midrange,Understable,NONE,0.18340,0.11050,0.01250,0.01700,0.01300,0.01615,0.00000
Element X,Gateway Disc Sports,Midrange,Stable,NONE,0.18180,0.10950,0.01300,0.01900,0.01200,0.01805,0.00000
Hybrid,Gateway Disc Sports,Fairway,Stable,Concave,0.17600,0.10600,0.01700,0.02200,0.01300,0.01009,0.00507
Illusion,Gateway Disc Sports,Driver,Stable,Concave,0.17760,0.10700,0.02100,0.01500,0.01100,0.01102,0.00323
Journey - LS,Gateway Disc Sports,Driver,Overstable,Concave,0.17600,0.10600,0.02150,0.01900,0.01100,0.00991,0.00498
Karma,Gateway Disc Sports,Midrange,Stable,NONE,0.18180,0.10950,0.01400,0.01900,0.01100,0.01805,0.00000
Magic,Gateway Disc Sports,Putter,Understable,Flat,0.17430,0.10500,0.01000,0.02100,0.01500,0.00297,0.00235
Mystic,Gateway Disc Sports,Midrange,Stable,Concave,0.18090,0.10900,0.01500,0.01900,0.01100,0.01790,0.00015
Mystic (retooled),Gateway Disc Sports,Midrange,Stable,Concave,0.18260,0.11000,0.01500,0.02000,0.01100,0.01900,0.00000
Ninja,Gateway Disc Sports,Driver,Stable,Concave,0.17600,0.10600,0.02000,0.01900,0.01200,0.00951,0.00478
Prophecy,Gateway Disc Sports,Midrange,Stable,Flat,0.18180,0.10950,0.01450,0.01700,0.01200,0.01615,0.00000
