time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
0.72,18.9517,-0.119371,5.15195,2,-0.117152,-0.266595,0.956662
0.73,19.197,-0.136964,5.18281,2,-0.116926,-0.260182,0.958454
0.74,19.4416,-0.154747,5.21346,2,-0.116688,-0.253821,0.960187
0.75,19.6856,-0.172715,5.24391,2,-0.116439,-0.247509,0.961863
0.76,19.9289,-0.190863,5.27417,2,-0.116181,-0.241248,0.963484
0.77,20.1715,-0.209185,5.30424,2,-0.115913,-0.235037,0.96505
0.78,20.4135,-0.227675,5.33412,2,-0.115636,-0.228876,0.966563
0.79,20.6548,-0.246329,5.36382,2,-0.11535,-0.222766,0.968024
0.8,20.8955,-0.265141,5.39334,2,-0.115055,-0.216705,0.969433
0.81,21.1356,-0.284105,5.42269,2,-0.114752,-0.210694,0.970793
0.82,21.375,-0.303216,5.45186,2,-0.114442,-0.204733,0.972105
0.83,21.6137,-0.32247,5.48086,2,-0.114125,-0.198822,0.973368
0.84,21.8519,-0.34186,5.5097,2,-0.1138,-0.19296,0.974585
0.85,22.0894,-0.361381,5.53837,2,-0.113469,-0.187148,0.975756
0.86,22.3262,-0.381029,5.56689,2,-0.113132,-0.181385,0.976883
0.87,22.5625,-0.400798,5.59524,2,-0.112788,-0.17567,0.977967
0.88,22.7981,-0.420683,5.62345,2,-0.11244,-0.170005,0.979007
0.89,23.0331,-0.440679,5.6515,2,-0.112086,-0.164389,0.980007
0.9,23.2674,-0.460781,5.6794,2,-0.111726,-0.158821,0.980965
0.91,23.5012,-0.480983,5.70715,2,-0.111363,-0.153301,0.981885
0.92,23.7343,-0.501281,5.73476,2,-0.110995,-0.147829,0.982765
0.93,23.9668,-0.521671,5.76223,2,-0.110623,-0.142406,0.983607
0.94,24.1988,-0.542146,5.78956,2,-0.110247,-0.13703,0.984413
0.95,24.4301,-0.562702,5.81675,2,-0.109867,-0.131701,0.985182
0.96,24.6608,-0.583334,5.8438,2,-0.109484,-0.12642,0.985916
0.97,24.8909,-0.604038,5.87072,2,-0.109099,-0.121187,0.986616
0.98,25.1204,-0.624809,5.89751,2,-0.10871,-0.116,0.987282
0.99,25.3493,-0.645641,5.92417,2,-0.108319,-0.110859,0.987916
1,25.5776,-0.666531,5.9507,2,-0.107926,-0.105766,0.988517
1.01,25.8053,-0.687474,5.97711,2,-0.10753,-0.100718,0.989087
1.02,26.0325,-0.708464,6.00339,2,-0.107133,-0.0957162,0.989627
1.03,26.259,-0.729498,6.02954,2,-0.106734,-0.0907602,0.990137
1.04,26.485,-0.750571,6.05558,2,-0.106334,-0.0858498,0.990617
1.05,26.7104,-0.771679,6.0815,2,-0.105933,-0.0809845,0.99107
1.06,26.9352,-0.792817,6.10729,2,-0.10553,-0.0761643,0.991495
1.07,27.1595,-0.81398,6.13297,2,-0.105127,-0.0713889,0.991893
1.08,27.3831,-0.835165,6.15854,2,-0.104724,-0.0666579,0.992265
1.09,27.6062,-0.856367,6.18399,2,-0.104319,-0.0619712,0.992611
1.1,27.8288,-0.877581,6.20932,2,-0.103915,-0.0573286,0.992933
1.11,28.0508,-0.898805,6.23455,2,-0.103511,-0.0527296,0.99323
1.12,28.2722,-0.920033,6.25966,2,-0.103106,-0.0481742,0.993503
1.13,28.493,-0.941261,6.28466,2,-0.102702,-0.0436621,0.993753
1.14,28.7133,-0.962485,6.30955,2,-0.102298,-0.0391929,0.993981
1.15,28.933,-0.983702,6.33434,2,-0.101895,-0.0347665,0.994187
1.16,29.1522,-1.00491,6.35901,2,-0.101493,-0.0303826,0.994372
1.17,29.3709,-1.0261,6.38358,2,-0.101092,-0.0260409,0.994536
1.18,29.589,-1.04726,6.40804,2,-0.100691,-0.0217412,0.99468
1.19,29.8065,-1.06841,6.4324,2,-0.100292,-0.0174832,0.994804
1.2,30.0235,-1.08953,6.45666,2,-0.0998941,-0.0132666,0.99491
1.21,30.24,-1.11062,6.48081,2,-0.0994975,-0.00909126,0.994996
1.22,30.4559,-1.13167,6.50485,2,-0.0991025,-0.00495684,0.995065
1.23,30.6713,-1.15268,6.5288,2,-0.0987092,-0.000863099,0.995116
1.24,30.8861,-1.17366,6.55264,2,-0.0983176,0.00319023,0.99515
1.25,31.1005,-1.19458,6.57638,2,-0.0979279,0.00720339,0.995167
1.26,31.3143,-1.21546,6.60001,2,-0.0975402,0.0111767,0.995169
1.27,31.5276,-1.23628,6.62355,2,-0.0971546,0.0151103,0.995155
1.28,31.7403,-1.25705,6.64699,2,-0.0967712,0.0190045,0.995125
1.29,31.9525,-1.27776,6.67033,2,-0.0963902,0.0228596,0.995081
1.3,32.1643,-1.2984,6.69356,2,-0.0960115,0.0266758,0.995023
1.31,32.3755,-1.31898,6.7167,2,-0.0956353,0.0304533,0.99495
1.32,32.5862,-1.33949,6.73974,2,-0.0952616,0.0341925,0.994865
1.33,32.7963,-1.35993,6.76268,2,-0.0948906,0.0378936,0.994766
1.34,33.006,-1.38029,6.78552,2,-0.0945224,0.0415567,0.994655
1.35,33.2152,-1.40057,6.80826,2,-0.0941569,0.0451823,0.994532
1.36,33.4238,-1.42077,6.8309,2,-0.0937944,0.0487705,0.994396
1.37,33.632,-1.44088,6.85345,2,-0.0934348,0.0523215,0.99425
1.38,33.8396,-1.4609,6.8759,2,-0.0930782,0.0558356,0.994092
1.39,34.0468,-1.48083,6.89824,2,-0.0927248,0.0593131,0.993924
1.4,34.2534,-1.50067,6.92049,2,-0.0923744,0.0627542,0.993745
1.41,34.4596,-1.52041,6.94265,2,-0.0920273,0.0661592,0.993556
1.42,34.6653,-1.54005,6.9647,2,-0.0916835,0.0695283,0.993358
1.43,34.8705,-1.55958,6.98666,2,-0.091343,0.0728616,0.99315
1.44,35.0752,-1.57901,7.00851,2,-0.0910059,0.0761596,0.992934
1.45,35.2794,-1.59833,7.03027,2,-0.0906722,0.0794224,0.992709
1.46,35.4831,-1.61754,7.05194,2,-0.090342,0.0826502,0.992475
1.47,35.6863,-1.63663,7.0735,2,-0.0900153,0.0858433,0.992234
1.48,35.8891,-1.65561,7.09496,2,-0.0896922,0.089002,0.991985
